Time;appname;urlmethod;
1472563783000;insightscentraldemo2.mybluemix.net:86acc12a-181c-4b97-a24e-d9a17fbc5bd5;GET /socket.io/;
1472563782000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472563782000;fundox.mybluemix.net:94338ee4-a69b-46c5-972f-3683db725531;GET /socket.io/;
1472563778000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices/tags;
1472563750000;ace-dashboard-production-20160819-142035.ng.bluemix.net:a548feb5-e0fa-4842-8a2d-ea96f4a0a11c;GET /socket.io/;
1472563746000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472563745000;ace-events-production-20160816-120854.ng.bluemix.net:093f11c8-939e-4de8-92c9-6c2bc30d7384;GET /socket.io/;
1472563738000;ace-dashboard-test-20160819-141650.ng.bluemix.net:aad37ac1-8c05-44cc-8282-385aa73541d5;GET /dashboard/api/model;
1472563738000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472563733000;fundox.mybluemix.net:94338ee4-a69b-46c5-972f-3683db725531;GET /socket.io/;
1472563709000;ace-events-production-20160816-120854.ng.bluemix.net:093f11c8-939e-4de8-92c9-6c2bc30d7384;GET /socket.io/;
1472563683000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472563673000;fundox.mybluemix.net:94338ee4-a69b-46c5-972f-3683db725531;GET /socket.io/;
1472563617000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472563611000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472563611000;ace-dashboard-test-20160819-141650.ng.bluemix.net:aad37ac1-8c05-44cc-8282-385aa73541d5;GET /dashboard/api/model;
1472563611000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472563577000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472563573000;fundox.mybluemix.net:94338ee4-a69b-46c5-972f-3683db725531;GET /socket.io/;
1472563525000;ace-events-production-20160816-120854.ng.bluemix.net:093f11c8-939e-4de8-92c9-6c2bc30d7384;GET /socket.io/;
1472563525000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472563510000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472563503000;ace-dashboard-test-20160819-141650.ng.bluemix.net:aad37ac1-8c05-44cc-8282-385aa73541d5;GET /dashboard/api/model;
1472563498000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472563473000;insightscentraldemo2.mybluemix.net:86acc12a-181c-4b97-a24e-d9a17fbc5bd5;GET /socket.io/;
1472563462000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472563458000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices/tags;
1472563445000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices/tags;
1472563428000;fundox.mybluemix.net:94338ee4-a69b-46c5-972f-3683db725531;GET /socket.io/;
1472563405000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472563398000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices/tags;
1472563393000;ace-events-production-20160816-120854.ng.bluemix.net:093f11c8-939e-4de8-92c9-6c2bc30d7384;GET /socket.io/;
1472563360000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472563360000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472563307000;ace-events-production-20160816-120854.ng.bluemix.net:093f11c8-939e-4de8-92c9-6c2bc30d7384;GET /socket.io/;
1472563294000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472563266000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/;
1472563266000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /events/;
1472563262000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472563254000;ace-events-production-20160819-142035.ng.bluemix.net:32f10e38-b324-4888-83b3-3e82beeea229;GET /socket.io/;
1472563240000;ace-dashboard-test-20160819-141650.ng.bluemix.net:aad37ac1-8c05-44cc-8282-385aa73541d5;GET /dashboard/api/model;
1472563240000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472563239000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472563225000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /events/;
1472563225000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/;
1472563202000;fundox.mybluemix.net:94338ee4-a69b-46c5-972f-3683db725531;GET /socket.io/;
1472563202000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472563202000;ace-dashboard-test-20160819-141650.ng.bluemix.net:aad37ac1-8c05-44cc-8282-385aa73541d5;GET /dashboard/api/model;
1472563202000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472563133000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices/tags;
1472563109000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472563108000;natural-language-classifier-toolkit.ng.bluemix.net:8fe377e3-9b62-4d22-a171-6596f55be878;GET /socket.io/;
1472563089000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472563089000;ace-dashboard-test-20160819-141650.ng.bluemix.net:aad37ac1-8c05-44cc-8282-385aa73541d5;GET /dashboard/api/model;
1472563080000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /socket.io/;
1472563045000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices;
1472563037000;ace-dashboard-test-20160819-141650.ng.bluemix.net:aad37ac1-8c05-44cc-8282-385aa73541d5;GET /dashboard/api/action;
1472563037000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/action;
1472563025000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472563025000;ace-dashboard-test-20160819-141650.ng.bluemix.net:aad37ac1-8c05-44cc-8282-385aa73541d5;GET /dashboard/api/model;
1472563021000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472563017000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /events/;
1472563017000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices/tags;
1472563016000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472563011000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/;
1472562989000;api.xforce.ibmcloud.com:b5a69486-2f81-4589-a26d-257218bfec27;GET /socket.io/;
1472562989000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /sessionp;
1472562920000;api.xforce.ibmcloud.com:b5a69486-2f81-4589-a26d-257218bfec27;GET /socket.io/;
1472562904000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /events/;
1472562904000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/;
1472562904000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /socket.io/;
1472562900000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472562888000;ace-appdetails-test-20160819-141650.ng.bluemix.net:11c1fed1-72ec-4aad-8d49-bca5a9997a1a;GET /socket.io/;
1472562887000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /sessionp;
1472562865000;lucy-poc.mybluemix.net:96349fe4-8fb7-4707-9ede-f0ac6b5c8d3f;GET /socket.io/;
1472562860000;ace-appdetails-test-20160819-141650.ng.bluemix.net:11c1fed1-72ec-4aad-8d49-bca5a9997a1a;GET /socket.io/;
1472562852000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472562844000;ace-appdetails-test-20160819-141650.ng.bluemix.net:11c1fed1-72ec-4aad-8d49-bca5a9997a1a;GET /socket.io/;
1472562840000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472562836000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/;
1472562835000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /events/;
1472562828000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /socket.io/;
1472562812000;viewuge-node-red.mybluemix.net:00b60564-4c44-4d76-8e8c-98ae9577483b;GET /red/comms;
1472562805000;ace-appdetails-test-20160819-141650.ng.bluemix.net:11c1fed1-72ec-4aad-8d49-bca5a9997a1a;GET /socket.io/;
1472562791000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472562779000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472562779000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /events/;
1472562779000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/;
1472562772000;ace-appdetails-test-20160819-141650.ng.bluemix.net:11c1fed1-72ec-4aad-8d49-bca5a9997a1a;GET /socket.io/;
1472562755000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices;
1472562745000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /socket.io/;
1472562738000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/;
1472562738000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /events/;
1472562728000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /socket.io/;
1472562724000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices/tags;
1472562723000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices;
1472562720000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /sessionp;
1472562717000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472562704000;ace-appdetails-test-20160819-141650.ng.bluemix.net:11c1fed1-72ec-4aad-8d49-bca5a9997a1a;GET /socket.io/;
1472562703000;ace-appdetails-test-20160819-141650.ng.bluemix.net:11c1fed1-72ec-4aad-8d49-bca5a9997a1a;GET /apps/api/model;
1472562700000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices;
1472562700000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /apps/api/model;
1472562693000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472562693000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472562689000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /sessionp;
1472562683000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472562678000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /sessionp;
1472562660000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472562660000;ace-dashboard-test-20160819-141650.ng.bluemix.net:aad37ac1-8c05-44cc-8282-385aa73541d5;GET /dashboard/api/model;
1472562658000;api.xforce.ibmcloud.com:b5a69486-2f81-4589-a26d-257218bfec27;GET /socket.io/;
1472562650000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472562629000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /socket.io/;
1472562620000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /sessionp;
1472562620000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472562613000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/;
1472562613000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /events/;
1472562602000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /socket.io/;
1472562579000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472562567000;ace-dashboard-test-20160819-141650.ng.bluemix.net:aad37ac1-8c05-44cc-8282-385aa73541d5;GET /dashboard/api/model;
1472562567000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472562567000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472562563000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /events/;
1472562563000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/;
1472562563000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472562533000;ace-appdetails-test-20160819-141650.ng.bluemix.net:11c1fed1-72ec-4aad-8d49-bca5a9997a1a;GET /socket.io/;
1472562530000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices;
1472562529000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /socket.io/;
1472562527000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /sessionp;
1472562505000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /sessionp;
1472562494000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /socket.io/;
1472562488000;fundox.mybluemix.net:94338ee4-a69b-46c5-972f-3683db725531;GET /socket.io/;
1472562468000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /sessionp;
1472562452000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472562440000;insightscentraldemo2.mybluemix.net:86acc12a-181c-4b97-a24e-d9a17fbc5bd5;GET /socket.io/;
1472562438000;ace-appdetails-test-20160819-141650.ng.bluemix.net:11c1fed1-72ec-4aad-8d49-bca5a9997a1a;GET /socket.io/;
1472562427000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices/tags;
1472562420000;ace-dashboard-test-20160819-141650.ng.bluemix.net:aad37ac1-8c05-44cc-8282-385aa73541d5;GET /dashboard/api/model;
1472562420000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472562408000;ace-dashboard-test-20160819-141650.ng.bluemix.net:aad37ac1-8c05-44cc-8282-385aa73541d5;GET /dashboard/api/model;
1472562408000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472562402000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472562383000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472562373000;ace-events-production-20160816-120854.ng.bluemix.net:093f11c8-939e-4de8-92c9-6c2bc30d7384;GET /socket.io/;
1472562360000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/;
1472562360000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /events/;
1472562346000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472562344000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /socket.io/;
1472562335000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /sessionp;
1472562331000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfApps;
1472562326000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/cfServices;
1472562323000;viewuge-node-red.mybluemix.net:00b60564-4c44-4d76-8e8c-98ae9577483b;GET /red/comms;
1472562317000;lucy-poc.mybluemix.net:96349fe4-8fb7-4707-9ede-f0ac6b5c8d3f;GET /socket.io/;
1472562303000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /sessionp;
1472562284000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /dashboard/api/model;
1472562284000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472562280000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /socket.io/;
1472562253000;new-console.ng.bluemix.net:ecc7071e-1a77-4719-9290-fc327d7f2960;GET /events/;
1472562253000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /events/;
1472562236000;ace-abstraction-test-20160819-141650.ng.bluemix.net:abfe8deb-1d26-46fd-bbd9-ead49070285b;GET /model/v1/dashboard;
1472562233000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /socket.io/;
1472562229000;api.ng.bluemix.net;PUT /v2/apps/uuid_replaced;
1472562214000;ace-events-test-20160819-141650.ng.bluemix.net:37d82712-48e9-4537-883e-a597cbff2ff5;GET /sessionp;
